CommonName,NDF-RT,ICD11Code,Drugs
AL amyloidosis,"['N0000147066', 'N0000148588', 'N0000148811']",5,"['MELPHALAN', 'THALIDOMIDE', 'BORTEZOMIB']"
AV junctional rhythm,['N0000148010'],11,['QUINIDINE']
Abdominal aortic aneurysm,"['N0000147924', 'N0000148200', 'N0000148821']",11,"['METOPROLOL', 'SIMVASTATIN', 'ROSUVASTATIN']"
Aberrant premature complexes,['N0000148010'],X,['QUINIDINE']
Abnormal uterine bleeding unrelated to menstrual cycle,['N0000147899'],16,['MEDROXYPROGESTERONE']
Absence seizure,['N0000147028'],6,['VALPROIC ACID']
Acanthosis nigricans due to type 2 diabetes mellitus,['N0000146198'],5,['CHLORPROPAMIDE']
Acne,"['N0000146109', 'N0000147185', 'N0000147467']",14,"['DOXYCYCLINE', 'CEPHALEXIN', 'DAPSONE']"
Acne agminata,['N0000147467'],X,['DAPSONE']
Acne detergicans,['N0000147467'],11,['DAPSONE']
Acne fulminans with erythema nodosum,['N0000147467'],14,['DAPSONE']
Acne nodule,['N0000147467'],2,['DAPSONE']
Acne vulgaris,"['N0000007444', 'N0000146234', 'N0000147467']",12,"['MINOCYCLINE', 'SPIRONOLACTONE', 'DAPSONE']"
Actinic keratosis,"['N0000146166', 'N0000147806']",14,"['FLUOROURACIL', 'DICLOFENAC']"
Actinomycotic infection,"['N0000146102', 'N0000146103']",1,"['SULFAMETHOXAZOLE', 'TRIMETHOPRIM']"
Active tuberculosis,"['N0000145890', 'N0000146932']",1,"['ISONIAZID', 'RIFAMPIN']"
Acute ST segment elevation myocardial infarction,"['N0000022101', 'N0000145918', 'N0000145994', 'N0000148505']",11,"['CLOPIDOGREL', 'ASPIRIN', 'CAPTOPRIL', 'CARVEDILOL']"
Acute akathisia caused by neuroleptic,['N0000148001'],8,['PROPRANOLOL']
Acute asthma,['N0000147880'],12,['IPRATROPIUM']
Acute bursitis,['N0000145980'],12,['TRIAMCINOLONE']
Acute coronary syndrome,"['N0000021914', 'N0000022101', 'N0000147602', 'N0000148200', 'N0000148255', 'N0000148343', 'N0000148821', 'N0000179815', 'N0000182973']",4,"['FLUVASTATIN', 'CLOPIDOGREL', 'LOVASTATIN', 'SIMVASTATIN', 'PRAVASTATIN', 'ENOXAPARIN', 'ROSUVASTATIN', 'PRASUGREL', 'TICAGRELOR']"
Acute cystitis,['N0000147503'],1,['CIPROFLOXACIN']
Acute exacerbation of chronic bronchitis,['N0000146102'],12,['SULFAMETHOXAZOLE']
Acute exacerbation of chronic obstructive pulmonary disease,"['N0000146229', 'N0000146334', 'N0000146409', 'N0000146102', 'N0000146103']",12,"['PREDNISONE', 'PREDNISOLONE', 'METHYLPREDNISOLONE', 'SULFAMETHOXAZOLE', 'TRIMETHOPRIM']"
Acute febrile mucocutaneous lymph node syndrome,"['N0000145918', 'N0000146334']",4,"['ASPIRIN', 'PREDNISOLONE']"
Acute graft-versus-host disease,"['N0000147916', 'N0000148832']",4,"['METHOTREXATE', 'MYCOPHENOLIC ACID']"
Acute intermittent porphyria,['N0000146214'],6,['CHLORPROMAZINE']
Acute ischemic heart disease,['N0000147924'],11,['METOPROLOL']
Acute leukemia,['N0000146229'],X,['PREDNISONE']
Acute lymphoid leukemia,"['N0000022032', 'N0000146452', 'N0000146478', 'N0000147796', 'N0000147829', 'N0000147916', 'N0000148056', 'N0000148698', 'N0000147080']",2,"['IRINOTECAN', 'CYCLOPHOSPHAMIDE', 'ETOPOSIDE', 'DAUNORUBICIN', 'DOXORUBICIN', 'METHOTREXATE', 'VINCRISTINE', 'IMATINIB', 'THIOGUANINE']"
Acute maxillary sinusitis,['N0000148093'],12,['CLARITHROMYCIN']
"Acute myeloid leukemia, disease","['N0000022032', 'N0000146452', 'N0000146478', 'N0000147079', 'N0000147796', 'N0000147829', 'N0000148244', 'N0000147080']",3,"['IRINOTECAN', 'CYCLOPHOSPHAMIDE', 'ETOPOSIDE', 'MERCAPTOPURINE', 'DAUNORUBICIN', 'DOXORUBICIN', 'FLUDARABINE', 'THIOGUANINE']"
Acute myocardial infarction,"['N0000146784', 'N0000147886', 'N0000147924']",11,"['ATENOLOL', 'LABETALOL', 'METOPROLOL']"
Acute non-ST segment elevation myocardial infarction,"['N0000022101', 'N0000145918']",11,"['CLOPIDOGREL', 'ASPIRIN']"
Acute otitis media,"['N0000146102', 'N0000146103', 'N0000148093']",10,"['SULFAMETHOXAZOLE', 'TRIMETHOPRIM', 'CLARITHROMYCIN']"
Acute pain,['N0000148596'],1,['CELECOXIB']
"Acute promyelocytic leukemia, FAB M3","['N0000147079', 'N0000147916']",2,"['MERCAPTOPURINE', 'METHOTREXATE']"
Acute prostatitis,['N0000147185'],13,['CEPHALEXIN']
Acute pulmonary edema,['N0000145994'],12,['CAPTOPRIL']
Acute rheumatic heart disease,['N0000146229'],11,['PREDNISONE']
Acute rhinosinusitis,"['N0000145980', 'N0000146109', 'N0000147931', 'N0000148122']",12,"['TRIAMCINOLONE', 'DOXYCYCLINE', 'MOMETASONE', 'FLUTICASONE PROPIONATE']"
Acute scleroderma renal crisis,['N0000145994'],16,['CAPTOPRIL']
Adenoma of large intestine,['N0000148596'],13,['CELECOXIB']
Administration of anesthesia AND/OR sedation,"['N0000006321', 'N0000147049']",14,"['DIAZEPAM', 'FENTANYL']"
Adrenal carcinoma,"['N0000146476', 'N0000146478', 'N0000147829']",2,"['CISPLATIN', 'ETOPOSIDE', 'DOXORUBICIN']"
Adrenal cortical hypofunction,"['N0000145980', 'N0000146229', 'N0000146291']",5,"['TRIAMCINOLONE', 'PREDNISONE', 'HYDROCORTISONE']"
Adult onset Still's disease,['N0000148580'],X,['INFLIXIMAB']
Age related macular degeneration,['N0000148845'],13,['BEVACIZUMAB']
Aggressive behavior,"['N0000147892', 'N0000148001', 'N0000148786']",13,"['LITHIUM', 'PROPRANOLOL', 'ARIPIPRAZOLE']"
Agitated depression,"['N0000147828', 'N0000148387', 'N0000148003', 'N0000148047']",19,"['DOXEPIN', 'NEFAZODONE', 'PROTRIPTYLINE', 'TRIMIPRAMINE']"
Agoraphobia,['N0000147875'],6,['IMIPRAMINE']
Alcohol dependence,"['N0000146461', 'N0000147939']",X,"['HALOPERIDOL', 'NALTREXONE']"
Alcohol withdrawal,"['N0000006321', 'N0000146205', 'N0000146226', 'N0000146413', 'N0000146784', 'N0000176077']",X,"['DIAZEPAM', 'LORAZEPAM', 'CARBAMAZEPINE', 'ALPRAZOLAM', 'ATENOLOL', 'CLOBAZAM']"
Alcoholic hepatitis,['N0000146334'],13,['PREDNISOLONE']
Alcoholism,['N0000148583'],X,['CITALOPRAM']
Allergic bronchopulmonary aspergillosis,"['N0000146229', 'N0000148767']",1,"['PREDNISONE', 'VORICONAZOLE']"
Allergic condition,"['N0000145980', 'N0000146229', 'N0000146273', 'N0000146291', 'N0000146334', 'N0000146409']",14,"['TRIAMCINOLONE', 'PREDNISONE', 'DEXAMETHASONE', 'HYDROCORTISONE', 'PREDNISOLONE', 'METHYLPREDNISOLONE']"
Allergic conjunctivitis,"['N0000022047', 'N0000146229']",9,"['AZELASTINE', 'PREDNISONE']"
Allergic disorder of respiratory system,"['N0000022010', 'N0000022047', 'N0000022057', 'N0000022122', 'N0000146229', 'N0000146409', 'N0000147816', 'N0000147931', 'N0000148122', 'N0000148306', 'N0000148384', 'N0000148729']",X,"['CETIRIZINE', 'AZELASTINE', 'FEXOFENADINE', 'MONTELUKAST', 'PREDNISONE', 'METHYLPREDNISOLONE', 'DIPHENHYDRAMINE', 'MOMETASONE', 'FLUTICASONE PROPIONATE', 'LORATADINE', 'BUDESONIDE', 'DESLORATADINE']"
Allergic reaction to drug,['N0000146229'],4,['PREDNISONE']
Allergic rhinitis,"['N0000145980', 'N0000146229', 'N0000147816', 'N0000147931', 'N0000148122', 'N0000148384']",12,"['TRIAMCINOLONE', 'PREDNISONE', 'DIPHENHYDRAMINE', 'MOMETASONE', 'FLUTICASONE PROPIONATE', 'BUDESONIDE']"
Allergy to drug,['N0000145980'],14,['TRIAMCINOLONE']
Alopecia,['N0000147064'],14,['CYCLOSPORINE']
Alopecia areata,['N0000145980'],14,['TRIAMCINOLONE']
Alveolar hypoventilation,['N0000147899'],7,['MEDROXYPROGESTERONE']
Alzheimer's disease,['N0000004713'],8,['DONEPEZIL']
Amebic dysentery,['N0000146194'],6,['METRONIDAZOLE']
Amebic liver abscess,['N0000146194'],13,['METRONIDAZOLE']
Amenorrhea,['N0000146818'],14,['NORETHINDRONE']
Amyloidosis,"['N0000145804', 'N0000146229']",5,"['UNKNOWN DRUG', 'PREDNISONE']"
Anal fissure,"['N0000145909', 'N0000146183', 'N0000146717', 'N0000147814']",13,"['NITROGLYCERIN', 'ISOSORBIDE DINITRATE', 'NIFEDIPINE', 'DILTIAZEM']"
Anaphylaxis,"['N0000146229', 'N0000147816']",4,"['PREDNISONE', 'DIPHENHYDRAMINE']"
Angina pectoris,"['N0000021928', 'N0000145909', 'N0000146183', 'N0000146784', 'N0000147886', 'N0000147924', 'N0000148001', 'N0000148054', 'N0000148116', 'N0000148333', 'N0000148505']",21,"['BISOPROLOL', 'NITROGLYCERIN', 'ISOSORBIDE DINITRATE', 'ATENOLOL', 'LABETALOL', 'METOPROLOL', 'PROPRANOLOL', 'VERAPAMIL', 'FELODIPINE', 'AMLODIPINE', 'CARVEDILOL']"
Angiosarcoma,['N0000148314'],X,['PACLITAXEL']
Ankylosing spondylitis,"['N0000006993', 'N0000146229', 'N0000147149', 'N0000147806', 'N0000148580', 'N0000148590', 'N0000148596', 'N0000148789', 'N0000147399']",4,"['IBUPROFEN', 'PREDNISONE', 'NAPROXEN', 'DICLOFENAC', 'INFLIXIMAB', 'ETANERCEPT', 'CELECOXIB', 'ADALIMUMAB', 'FLURBIPROFEN']"
Anorexia nervosa,"['N0000147875', 'N0000148465']",6,"['IMIPRAMINE', 'OLANZAPINE']"
Anovulation,['N0000148024'],21,['TAMOXIFEN']
Anterior uveitis,['N0000146229'],9,['PREDNISONE']
Anthrax,"['N0000007444', 'N0000146109', 'N0000147503', 'N0000148093']",1,"['MINOCYCLINE', 'DOXYCYCLINE', 'CIPROFLOXACIN', 'CLARITHROMYCIN']"
Antibiotic enterocolitis,['N0000147503'],19,['CIPROFLOXACIN']
Anticonvulsant drug-induced osteomalacia,['N0000020410'],18,['CALCIFEDIOL']
Antimetabolite overdose,['N0000147887'],3,['LEUCOVORIN']
Antiphospholipid syndrome,['N0000148057'],4,['WARFARIN']
Anxiety,"['N0000006321', 'N0000147924', 'N0000148001', 'N0000148449']",6,"['DIAZEPAM', 'METOPROLOL', 'PROPRANOLOL', 'MIRTAZAPINE']"
Anxiety disorder,"['N0000147946', 'N0000021906', 'N0000021981', 'N0000022289', 'N0000146152', 'N0000146205', 'N0000146413', 'N0000147739', 'N0000147852', 'N0000147875', 'N0000148257', 'N0000148335', 'N0000148449', 'N0000148583', 'N0000148860', 'N0000176077']",6,"['NORTRIPTYLINE', 'VENLAFAXINE', 'FLUVOXAMINE', 'ESCITALOPRAM', 'CLONAZEPAM', 'LORAZEPAM', 'ALPRAZOLAM', 'BUSPIRONE', 'FLUOXETINE', 'IMIPRAMINE', 'SERTRALINE', 'PAROXETINE', 'MIRTAZAPINE', 'CITALOPRAM', 'DULOXETINE', 'CLOBAZAM']"
Anxiety disorder caused by alcohol,['N0000147828'],X,['DOXEPIN']
Aortic root dilatation,['N0000148533'],11,['IRBESARTAN']
Aphthous ulcer of mouth,"['N0000145804', 'N0000148588']",13,"['UNKNOWN DRUG', 'THALIDOMIDE']"
Aphthous ulceration of skin and/or mucous membrane,['N0000147467'],1,['DAPSONE']
Aplastic anemia,"['N0000147064', 'N0000177933']",3,"['CYCLOSPORINE', 'ELTROMBOPAG']"
Arterial thrombosis,['N0000022101'],11,['CLOPIDOGREL']
Arteriosclerosis of coronary artery bypass graft,['N0000022101'],11,['CLOPIDOGREL']
Arteriosclerotic vascular disease,['N0000021914'],1,['FLUVASTATIN']
Arthritis,['N0000145918'],1,['ASPIRIN']
Arthritis of spine,"['N0000145898', 'N0000145918', 'N0000146229', 'N0000146273', 'N0000146334', 'N0000146409', 'N0000147149', 'N0000147806', 'N0000148596', 'N0000148649']",1,"['ACETAMINOPHEN', 'ASPIRIN', 'PREDNISONE', 'DEXAMETHASONE', 'PREDNISOLONE', 'METHYLPREDNISOLONE', 'NAPROXEN', 'DICLOFENAC', 'CELECOXIB', 'MELOXICAM']"
Arthropathy,"['N0000146229', 'N0000145898', 'N0000145918', 'N0000146273', 'N0000146334', 'N0000146409', 'N0000147149', 'N0000147806', 'N0000148596', 'N0000148649']",15,"['PREDNISONE', 'ACETAMINOPHEN', 'ASPIRIN', 'DEXAMETHASONE', 'PREDNISOLONE', 'METHYLPREDNISOLONE', 'NAPROXEN', 'DICLOFENAC', 'CELECOXIB', 'MELOXICAM']"
Arthropathy due to type 2 diabetes mellitus,['N0000146198'],5,['CHLORPROPAMIDE']
Arthroplasty of knee,['N0000148414'],3,['ALENDRONATE']
Articular gout,"['N0000145980', 'N0000146229']",2,"['TRIAMCINOLONE', 'PREDNISONE']"
Ascites,"['N0000146188', 'N0000146234']",X,"['FUROSEMIDE', 'SPIRONOLACTONE']"
Asperger's disorder,['N0000148786'],6,['ARIPIPRAZOLE']
Aspergillosis,['N0000148767'],1,['VORICONAZOLE']
Aspiration pneumonitis,['N0000146229'],12,['PREDNISONE']
Aspirin-induced asthma,['N0000022122'],12,['MONTELUKAST']
Assisted fertilization,['N0000147628'],X,['GOSERELIN ACETATE']
Asthma,"['N0000022010', 'N0000022122', 'N0000145980', 'N0000146229', 'N0000146334', 'N0000146409', 'N0000147931', 'N0000148026', 'N0000148122', 'N0000148306', 'N0000148384', 'N0000146273', 'N0000147880', 'N0000148706', 'N0000147099', 'N0000021960']",12,"['CETIRIZINE', 'MONTELUKAST', 'TRIAMCINOLONE', 'PREDNISONE', 'PREDNISOLONE', 'METHYLPREDNISOLONE', 'MOMETASONE', 'TERBUTALINE', 'FLUTICASONE PROPIONATE', 'LORATADINE', 'BUDESONIDE', 'DEXAMETHASONE', 'IPRATROPIUM', 'FORMOTEROL', 'ALBUTEROL', 'SALMETEROL']"
Atopic IgE-mediated allergic disorder,"['N0000022010', 'N0000022047', 'N0000022057', 'N0000022122', 'N0000146229', 'N0000146409', 'N0000147816', 'N0000147931', 'N0000148122', 'N0000148306', 'N0000148729']",6,"['CETIRIZINE', 'AZELASTINE', 'FEXOFENADINE', 'MONTELUKAST', 'PREDNISONE', 'METHYLPREDNISOLONE', 'DIPHENHYDRAMINE', 'MOMETASONE', 'FLUTICASONE PROPIONATE', 'LORATADINE', 'DESLORATADINE']"
Atopic dermatitis,"['N0000022010', 'N0000022122', 'N0000146229', 'N0000147069', 'N0000148122', 'N0000148406', 'N0000148372']",14,"['CETIRIZINE', 'MONTELUKAST', 'PREDNISONE', 'AZATHIOPRINE', 'FLUTICASONE PROPIONATE', 'MYCOPHENOLATE MOFETIL', 'TACROLIMUS']"
Atrial arrhythmia,"['N0000147814', 'N0000148505', 'N0000147996', 'N0000148010']",11,"['DILTIAZEM', 'CARVEDILOL', 'PROPAFENONE', 'QUINIDINE']"
