NDF-RT,SNOMED,CommonName,ICD11-Category
N0000004713,26929004,Alzheimer's disease,
N0000004713,56267009,Multi-infarct dementia,
N0000004713,80098002,Diffuse Lewy body disease,
N0000004713,386806002,Impaired cognition,
N0000004713,425390006,Dementia associated with Parkinson's Disease,
N0000004713,1591000119103,Dementia with behavioral disturbance,
N0000005766,34000006,Crohn's disease,
N0000005766,41364008,Proctosigmoiditis,
N0000005766,64766004,Ulcerative colitis,
N0000005766,67038005,Nonspecific ulcerative proctitis,
N0000005766,67224007,Reactive arthritis triad,
N0000006226,48130008,Hypogonadism,
N0000006226,64859006,Osteoporosis,
N0000006226,372064008,INCOMPLETE,
N0000006226,400003000,Delayed puberty,
N0000006321,48694002,Anxiety,
N0000006321,72641008,Sedation,
N0000006321,74934004,Psychoactive substance withdrawal,
N0000006321,91175000,Seizure,
N0000006321,191480000,Alcohol withdrawal,
N0000006321,203095000,Spasm of back muscles,
N0000006321,221360009,Spasticity,
N0000006321,230456007,Status epilepticus,
N0000006321,371631005,Panic disorder,
N0000006321,410011004,Administration of anesthesia AND/OR sedation,
N0000006456,82423001,Chronic pain,
N0000006613,5217008,Stiff-person syndrome,
N0000006613,31681005,Trigeminal neuralgia,
N0000006613,58756001,Huntington's chorea,
N0000006613,65958008,Hiccoughs,
N0000006613,76902006,Tetanus,
N0000006613,128188000,Cerebral palsy,
N0000006613,221360009,Spasticity,
N0000006613,274665008,Chronic intractable pain,
N0000006730,44054006,Type 2 diabetes mellitus,
N0000006993,3238004,Pericarditis,
N0000006993,9631008,Ankylosing spondylitis,
N0000006993,22253000,Pain,
N0000006993,25064002,Headache,
N0000006993,37796009,Migraine,
N0000006993,65754002,Primary dysmenorrhea,
N0000006993,69896004,Rheumatoid arthritis,
N0000006993,83330001,Patent ductus arteriosus,
N0000006993,90560007,Gout,
N0000006993,128139000,Inflammatory disorder,
N0000006993,190905008,Cystic fibrosis,
N0000006993,386661006,Fever,
N0000006993,396275006,Osteoarthritis,
N0000007444,15628003,Gonorrhea,
N0000007444,23511006,Meningococcal infectious disease,
N0000007444,29227009,Nocardiosis,
N0000007444,37246009,Disease caused by rickettsiae,
N0000007444,41565005,Periodontitis,
N0000007444,51105006,Nongonococcal urethritis caused by Ureaplasma urealyticum,
N0000007444,68566005,Urinary tract infectious disease,
N0000007444,69896004,Rheumatoid arthritis,
N0000007444,76272004,Syphilis,
N0000007444,81004002,Leprosy,
N0000007444,84619001,Nongonococcal urethritis,
