NDF-RT,SNOMED,CommonName,Score,ICD11Code,SpecificMatch,BroadName
N0000004713,26929004,Alzheimer's disease,94.44444444,8,Diseases of the nervous system,Alzheimer disease
N0000004713,56267009,Multi-infarct dementia,100,6,"Mental, behavioural or neurodevelopmental disorders",Dementia
N0000004713,80098002,Diffuse Lewy body disease,100,8,Diseases of the nervous system,Lewy body disease
N0000004713,386806002,Impaired cognition,68.08510638,10,Diseases of the ear or mastoid process,Congenital hearing impairment
N0000004713,425390006,Dementia associated with Parkinson's Disease,100,6,"Mental, behavioural or neurodevelopmental disorders",Dementia
N0000004713,1591000119103,Dementia with behavioral disturbance,100,6,"Mental, behavioural or neurodevelopmental disorders",Dementia
N0000005766,34000006,Crohn's disease,92.85714286,13,Diseases of the digestive system,Crohn disease
N0000005766,41364008,Proctosigmoiditis,68.18181818,13,Diseases of the digestive system,Ulcerative rectosigmoiditis
N0000005766,64766004,Ulcerative colitis,100,13,Diseases of the digestive system,Ulcerative colitis
N0000005766,67038005,Nonspecific ulcerative proctitis,100,13,Diseases of the digestive system,Ulcerative proctitis
N0000005766,67224007,Reactive arthritis triad,72.72727273,15,Diseases of the musculoskeletal system or connective tissue,Rheumatoid arthritis
N0000006226,48130008,Hypogonadism,66.66666667,6,"Mental, behavioural or neurodevelopmental disorders",Hypochondriasis
N0000006226,64859006,Osteoporosis,100,15,Diseases of the musculoskeletal system or connective tissue,Postoophorectomy osteoporosis
N0000006226,372064008,INCOMPLETE,100,18,"Pregnancy, childbirth or the puerperium",Obstructed labour due to incomplete rotation of fetal head
N0000006226,400003000,Delayed puberty,63.63636364,5,"Endocrine, nutritional or metabolic diseases",Certain disorders of puberty
N0000006321,48694002,Anxiety,100,6,"Mental, behavioural or neurodevelopmental disorders",Mixed depressive and anxiety disorder
N0000006321,72641008,Sedation,66.66666667,21,"Symptoms, signs or clinical findings, not elsewhere classified",Perseveration
N0000006321,74934004,Psychoactive substance withdrawal,80,17,Conditions related to sexual health,Aetiological considerations associated with use of psychoactive substance or medication
N0000006321,91175000,Seizure,100,8,Diseases of the nervous system,Seizure due to acute causes
N0000006321,191480000,Alcohol withdrawal,100,X,Extension Codes,Alcohol
N0000006321,203095000,Spasm of back muscles,66.66666667,15,Diseases of the musculoskeletal system or connective tissue,Disorders of muscles
N0000006321,221360009,Spasticity,54.54545455,13,Diseases of the digestive system,Hepatic cyst
N0000006321,230456007,Status epilepticus,100,8,Diseases of the nervous system,Status epilepticus
N0000006321,371631005,Panic disorder,100,6,"Mental, behavioural or neurodevelopmental disorders",Panic disorder
N0000006321,410011004,Administration of anesthesia AND/OR sedation,65.42056075,14,Diseases of the skin,Localised adverse cutaneous reactions to administration of drug
N0000006456,82423001,Chronic pain,78.57142857,8,Diseases of the nervous system,Chronic migraine
N0000006613,5217008,Stiff-person syndrome,76.19047619,4,Diseases of the immune system,Good syndrome
N0000006613,31681005,Trigeminal neuralgia,67.9245283,8,Diseases of the nervous system,Trigeminal autonomic cephalalgias
N0000006613,58756001,Huntington's chorea,62.85714286,1,Certain infectious or parasitic diseases,Rheumatic chorea
