multiplex	node	score
1	10951	0.0022147419521442897
1	6326	0.0022066791247629435
1	6328	0.002206136289224288
1	6332	0.0022061209103364943
1	6334	0.0022058991873940077
1	11280	0.0022053787142721584
1	6750	0.0021942678577939324
1	2568	0.0021922116250721654
1	2559	0.002191887693777797
1	1576	0.0021893826257471235
1	2567	0.002188431693561841
1	55879	0.0021869449456523014
1	2563	0.0021866152522013876
1	2565	0.0021861146756749243
1	2556	0.0021860722872713433
1	2557	0.002185960075077721
1	2558	0.002185832862254791
1	2564	0.00218568721933164
1	3363	0.002185094157032332
1	4915	0.0021849031735368413
1	1544	0.002176884277499812
1	11201	0.0021748001484544967
1	7252	0.002174451900604619
1	2796	0.0021716401437998157
1	1565	0.002170094575823851
1	1557	0.0021687973675038933
1	632	0.0021665514304957047
1	3727	0.002153046960034707
1	1559	0.0021512510524581254
1	2671	0.0021462741515392036
1	885	0.0021426078230200978
1	2562	0.0021389074221470784
1	2554	0.0021359075198358985
1	2561	0.002124959468210589
1	4780	0.0021116345473599523
1	2566	0.0021036946962112602
1	10919	0.002096956134503564
1	367	0.002094953182762372
1	2555	0.0020918221589149464
1	2560	0.0020901634146460765
1	3757	0.0020832183669718227
1	6331	0.0020792211550766434
1	7124	0.002078459398090206
1	627	0.002073803351450482
1	6505	0.002064034468995776
1	7157	0.0020615862799088867
1	1813	0.0020520676461431337
1	5243	0.002051608537304835
1	1543	0.0020512856727654843
1	3356	0.002049025232924276
1	6335	0.0020477131749727265
1	6336	0.0020464784438719826
1	51053	0.002044552047776575
1	6329	0.002044282242724537
1	6323	0.00204044566231587
1	3417	0.0020371466235478784
1	3952	0.002036845528641302
1	3553	0.0020344179914008106
1	5617	0.002031778098079685
1	1555	0.0020300069680737258
1	2678	0.0020289510694438996
1	355	0.002025764455908126
1	1577	0.0020255964838334
1	818	0.00202396609980925
1	3308	0.002023674629120232
1	10013	0.0020234855206335577
1	2670	0.002022877420269172
1	1812	0.002022744980191682
1	3065	0.0020225285982725595
1	596	0.0020212521711233623
1	9759	0.002020821225948307
1	4609	0.00202060173357879
1	5294	0.002020300119854427
1	9734	0.002019062076228597
1	10014	0.0020174405363424398
1	4922	0.002016243609421907
1	2908	0.0020149168776638026
1	3066	0.0020146169831820313
1	83933	0.002014153582635134
1	1432	0.0020135193361245723
1	1571	0.002012035417747952
1	79885	0.002011227331971358
1	1814	0.0020099653334688574
1	361	0.0020099484856421906
1	4353	0.002008377000798599
1	7915	0.0020047717622753815
1	18	0.0020046627680650954
1	2475	0.002004487381620172
1	4907	0.002003398088764654
1	6606	0.002002850396977839
1	2194	0.002002803094206652
1	8841	0.0020024224585316074
1	9429	0.002001477033689183
1	4005	0.0019999711268623814
1	51564	0.001998272371134488
1	6311	0.001998100530248964
1	7133	0.0019977493592817264
1	4908	0.001996191939141115
1	6714	0.001995621157413744
1	7066	0.001994598708692045
1	51738	0.0019941606698697448
1	54737	0.0019907619217339146
1	3558	0.001990468537105628
1	3628	0.001986362731566272
1	1815	0.001985590646171601
1	8314	0.001984907986626856
1	4158	0.0019848455408640405
1	3760	0.0019833475867745537
1	55869	0.0019831058932406904
1	2668	0.0019830784032272525
1	7498	0.001978354063675378
1	5893	0.001978075197985378
1	3106	0.0019774326884220987
1	3725	0.0019751589913989255
1	2548	0.00197042590560428
1	3350	0.0019702553178360905
1	3358	0.0019695401538582
1	5538	0.0019691795658659398
1	983	0.0019585904982345223
1	7334	0.0019504643643617529
1	1072	0.0019502004211843752
1	348	7.040844743772254e-05
1	2743	6.524690381158206e-05
1	7040	6.089970656940695e-05
1	7068	5.9353272715891616e-05
1	23411	5.924056447024204e-05
1	2741	5.706069555992843e-05
1	3028	5.693133527208062e-05
1	1080	5.558756032723625e-05
1	5468	5.446053069250326e-05
1	1956	5.1734574916443394e-05
1	207	5.158144627668118e-05
1	3569	5.072321453400934e-05
1	775	4.953883728005084e-05
1	3091	4.951429821208355e-05
1	6513	4.8694576200298254e-05
1	4088	4.8418203393291646e-05
1	1548	4.6778418640531324e-05
1	7422	4.566939089320367e-05
1	776	4.5521834002793665e-05
1	2064	4.404451509906301e-05
1	1545	4.394000955124672e-05
1	2099	4.23223024937288e-05
1	1026	4.214339203972165e-05
1	3759	4.1429199105278054e-05
1	4363	4.141875491893316e-05
1	5594	4.136459130060027e-05
1	6898	4.116972747532397e-05
1	1558	4.0725417033341935e-05
1	5347	4.068895160665446e-05
1	8856	4.064634084324441e-05
1	3320	3.941653845665102e-05
1	2950	3.940983151435867e-05
1	7057	3.935548128750993e-05
1	150	3.927990930018291e-05
1	2550	3.9162010480591874e-05
1	5970	3.9116838008534604e-05
1	3815	3.9033688770661366e-05
1	3248	3.8568200353496374e-05
1	3458	3.827377275677756e-05
1	1649	3.81996551279212e-05
1	5741	3.8103048276674e-05
1	5291	3.7800796810149577e-05
1	5728	3.7719537434534236e-05
1	338	3.763523419049885e-05
1	23410	3.7625822374479475e-05
1	6507	3.739525068713266e-05
1	4023	3.739480308443659e-05
1	51305	3.663312369840324e-05
1	1906	3.6379486384406084e-05
1	2247	3.635475993387834e-05
1	3265	3.6242633342477275e-05
1	1636	3.623786823823453e-05
1	3784	3.562850256166872e-05
1	23435	3.5089804688296894e-05
1	22933	3.5068892297762016e-05
1	185	3.4942209191119985e-05
1	54658	3.487695762337173e-05
1	581	3.455750408695462e-05
1	3976	3.4522539342213115e-05
1	3643	3.422920547476955e-05
1	10021	3.4032020405816673e-05
1	3586	3.384910048399603e-05
1	7490	3.359024418857098e-05
1	25	3.3454488452287984e-05
1	5595	3.3449755196963454e-05
1	5979	3.3446849213154385e-05
1	351	3.338877861549905e-05
1	2932	3.330994272768096e-05
1	19	3.310099145898616e-05
1	3084	3.304590952300173e-05
1	9568	3.296123120714116e-05
1	3627	3.2921511150070145e-05
1	2740	3.263556804081163e-05
1	2149	3.24234977543576e-05
1	4967	3.234014340781222e-05
1	5054	3.222148887835127e-05
1	6774	3.203229219006576e-05
1	3043	3.1782319567958164e-05
1	5599	3.175399787872069e-05
1	2539	3.1682882394759304e-05
1	672	3.146812966819776e-05
1	3791	3.1357392440355025e-05
1	1551	3.124758461305686e-05
1	3606	3.104981354575019e-05
1	7172	3.102103613471384e-05
1	1869	3.090754100021191e-05
1	3741	3.01513797411689e-05
1	5290	3.013641948718001e-05
1	1786	3.0068660630351883e-05
1	5580	2.999364988844599e-05
1	7253	2.997586399213159e-05
1	8644	2.9896416177981962e-05
1	23408	2.973855365455777e-05
1	5170	2.970652871024827e-05
1	4790	2.9588555546582484e-05
1	6822	2.9285911522339676e-05
1	890	2.9169299915591675e-05
1	2778	2.9122780098740532e-05
1	1027	2.9110740336927194e-05
1	2902	2.8826945637365625e-05
1	301	2.8758114113095385e-05
1	51547	2.8646277383411362e-05
1	4160	2.83317225277601e-05
1	3326	2.8207351954072995e-05
1	3123	2.814817904114425e-05
1	5292	2.8064477075475764e-05
1	3576	2.80291274402554e-05
1	2625	2.8024571269640172e-05
1	2922	2.798370734363737e-05
1	4916	2.7894675146378244e-05
1	6597	2.788421895433673e-05
1	477	2.7883161664972164e-05
1	3146	2.784633757177242e-05
1	4842	2.7806931993004447e-05
1	3357	2.7703965214381093e-05
1	8850	2.763427767691335e-05
1	133	2.7582215347225198e-05
1	3689	2.7512664807340238e-05
1	9518	2.735636560877893e-05
1	4843	2.7318537306955755e-05
1	7015	2.7260808650623493e-05
1	7150	2.715517258003224e-05
1	1437	2.714184927705329e-05
1	6790	2.710968679934012e-05
1	7364	2.6889067652581443e-05
1	2744	2.6853576242855616e-05
1	3764	2.6833705509306207e-05
1	641	2.6785287410658344e-05
1	4137	2.67502591352828e-05
1	3753	2.6742186538101442e-05
1	116	2.6673002773759606e-05
1	5587	2.6638237421240306e-05
1	873	2.662863599525265e-05
1	213	2.650077879068817e-05
1	6093	2.6475332489102165e-05
1	152	2.6451518115352885e-05
1	1394	2.6275594338697156e-05
