index	score	claim_name	ncbi_gene_id
85	0.027566706069171054	CYP3A4	1576
0	0.013776554131504332	CYP2D6	1565
97	0.013640738755016998	CYP1A2	1544
189	0.009791531325207634	CYP2C19	1557
47	0.009143389247985748	CYP2C9	1559
200	0.0032154464867582104	HSD17B10	3028
17	0.002779114733348732	EHMT2	10919
528	0.0023839416024369576	ALDH1A1	216
162	0.0021043766686252518	AR	367
184	0.0017498983971552039	NFE2L2	4780
109	0.0016019932396637282	VDR	7421
228	0.0015916540666779568	HPGD	3248
110	0.0015440910093678815	MAPT	4137
364	0.0014139346308290127	TP53	7157
134	0.0013531394735972805	KCNH2	3757
31	0.0013334195445560313	DRD2	1813
219	0.0012969992719110387	TSHR	7253
359	0.0012854523700494642	ABCB1	5243
700	0.0011953065512957024	KDM4E	390245
135	0.0011880970147730402	ALOX15	246
275	0.0011824484127049828	CBX1	10951
277	0.0011116078325315911	GMNN	51053
368	0.0010573477895177426	DRD1	1812
463	0.0010104568194892682	HTR2C	3358
225	0.0010085969315393602	IDH1	3417
3	0.0009945997354148313	RGS4	5999
102	0.0009577023660590488	USP1	7398
96	0.0009466283946240213	ATXN2	6311
30	0.0009438678131858767	HIF1A	3091
52	0.0009392560107437057	KDM4A	9682
238	0.0009042377409809644	CYP3A5	1577
15	0.0008782787848863543	BAZ2B	29994
508	0.0008493446768165348	NR1I2	8856
122	0.0008379692703012778	CHRM1	1128
2	0.0008326830583326371	ATAD5	79915
504	0.0008147800722217737	MPHOSPH8	54737
742	0.0008074693826240472	THPO	7066
366	0.0007952980889392629	AMD1	262
4	0.0007940599463264949	MAPK1	5594
168	0.000774200684936676	HRH1	3269
169	0.0007592059547220102	A1BG	1
823	0.0007406026597055537	CYP2B6	1555
378	0.0007131104372172307	SMN1	6606
84	0.000708278256900138	SMN2	6607
518	0.0006862002528555676	HTR2A	3356
232	0.000670759589091065	G6PD	2539
143	0.0006650977933469443	NFKB1	4790
571	0.0006636841844097514	CHRM3	1131
1333	0.0006395551051054452	ABCD1	215
28	0.0006307825189525468	POLK	51426
972	0.0006284942121540483	PTGS2	5743
301	0.0006281105502583236	CHRM2	1129
296	0.0005804509283873404	A2MP1	3
339	0.0005781064677424263	RECQL	5965
83	0.0005736633706381893	FEN1	2237
755	0.0005723555292004137	ALOX15B	247
427	0.0005577527368249396	A2M	2
128	0.0005550003974589888	AADAC	13
430	0.0005538487508442351	POLI	11201
100	0.0005511094728855451	ADRA1A	148
315	0.0005300583528254629	SLC6A2	6530
27	0.0005296670993057359	ESR1	2099
48	0.0005273603072047091	PTGS1	5742
119	0.0005270403785260563	ADRB2	154
561	0.000526076088408692	AANAT	15
757	0.0005257282019733745	AAMP	14
138	0.0005190358580494242	GABRA2	2555
