ncbi_gene_id	score	claim_name
3358	0.005167853730234102	HTR2C
12	0.005167853730234102	SERPINA3
1813	0.005167853730234101	DRD2
3356	0.0046331186881782525	HTR2A
1	0.0046331186881782525	A1BG
11	0.004467955008234977	NATP
262	0.004211135262046216	AMD1
1565	0.0040043331999176784	CYP2D6
1814	0.0038545611696350975	DRD3
3363	0.003460773533765565	HTR7
1812	0.003448315306695888	DRD1
1815	0.003363781697018498	DRD4
215	0.003351408630605397	ABCD1
148	0.003147539991067877	ADRA1A
3269	0.002753752355198344	HRH1
3350	0.002753752355198344	HTR1A
1544	0.0027349962087579232	CYP1A2
7157	0.0022690572131866373	TP53
218	0.002200261166702074	ALDH3A1
214	0.002200261166702074	ALCAM
5999	0.0021784484564668907	RGS4
7957	0.0021167748665504213	EPM2A
2	0.0021096524099823264	A2M
3	0.0021096524099823264	A2MP1
10951	0.0020279750301907024	CBX1
3757	0.001874654557591284	KCNH2
4524	0.001804156343578554	MTHFR
4160	0.0017970338870104585	MC4R
3417	0.001734322171130788	IDH1
10919	0.0017271997145626922	EHMT2
1576	0.0016531530582331233	CYP3A4
9429	0.0016531530582331233	ABCG2
216	0.0016531530582331233	ALDH1A1
440275	0.0016437134144110408	EIF2AK4
3362	0.0015879146376279333	HTR6
152	0.0015879146376279333	ADRA2C
54737	0.0015620360346194164	MPHOSPH8
5893	0.0015620360346194164	RAD52
6311	0.0015620360346194164	ATXN2
25970	0.0014097536879832016	SH2B1
100302144	0.0014097536879832016	MIR1912
1543	0.0014097536879832016	CYP1A1
6505	0.0014097536879832016	SLC1A1
100302251	0.0014097536879832016	MIR1264
9135	0.0014097536879832016	RABEP1
7066	0.0014093305817458187	THPO
217	0.001340534535261255	ALDH2
1559	0.001340534535261255	CYP2C9
26	0.001340534535261255	AOC1
627	0.0013382173480072685	BDNF
3352	0.0013310948914391724	HTR1D
1571	0.0011872140626618373	CYP2E1
4922	0.0011872140626618373	NTS
25	0.0011872140626618373	ABL1
10718	0.0011242928293106339	NRG3
56853	0.0011242928293106339	CELF4
375298	0.0011242928293106339	CERKL
80224	0.0011242928293106339	NUBPL
386607	0.0011242928293106339	ZFP91-CNTF
1270	0.0011242928293106339	CNTF
7365	0.001097135165011333	UGT2B10
23216	0.001097135165011333	TBC1D1
887	0.001097135165011333	CCKBR
3359	0.001097135165011333	HTR3A
1128	0.001097135165011333	CHRM1
2740	0.001097135165011333	GLP1R
5565	0.001097135165011333	PRKAB2
2166	0.001097135165011333	FAAH
5563	0.001097135165011333	PRKAA2
2641	0.001097135165011333	GCG
1573	0.001027300992563567	CYP2J2
29994	0.001027300992563567	BAZ2B
5467	0.001027300992563567	PPARD
9682	0.001027300992563567	KDM4A
387129	0.001027300992563567	NPSR1
2904	0.000946131879665902	GRIN2B
54658	0.000946131879665902	UGT1A1
3952	0.000946131879665902	LEP
64816	0.000946131879665902	CYP3A43
22	0.000946131879665902	ABCB7
4781	0.000946131879665902	NFIB
23	0.000946131879665902	ABCF1
24	0.000946131879665902	ABCA4
2194	0.000946131879665902	FASN
8856	0.0008745955396899692	NR1I2
490	0.0008745955396899692	ATP2B1
885	0.0008745955396899692	CCK
27	0.0008745955396899692	ABL2
3308	0.0008745955396899692	HSPA4
5243	0.0008745955396899692	ABCB1
367	0.0008674730831218732	AR
152330	0.0008674730831218732	CNTN4
1139	0.0008674730831218732	CHRNA7
4067	0.0008674730831218732	LYN
928	0.0008674730831218732	CD9
259232	0.0008674730831218732	NALCN
153	0.0008674730831218732	ADRB1
1002	0.0008674730831218732	CDH4
26298	0.0008674730831218732	EHF
7334	0.0007023094031785977	UBE2N
5581	0.0007023094031785977	PRKCE
1012	0.0007023094031785977	CDH13
79648	0.0007023094031785977	MCPH1
55534	0.0007023094031785977	MAML3
2475	0.0007023094031785977	MTOR
51053	0.0007023094031785977	GMNN
652991	0.0007023094031785977	SKOR2
2952	0.0006335133566940343	GSTT1
1993	0.0006335133566940343	ELAVL2
50852	0.0006335133566940343	TRAT1
4835	0.0006335133566940343	NQO2
3127	0.0006335133566940343	HLA-DRB5
4363	0.0006335133566940343	ABCC1
54657	0.0006335133566940343	UGT1A4
28755	0.0006335133566940343	TRAC
5020	0.0006335133566940343	OXT
3125	0.0006335133566940343	HLA-DRB3
2289	0.0006335133566940343	FKBP5
10	0.0006335133566940343	NAT2
6532	0.0006335133566940343	SLC6A4
2675	0.0006335133566940343	GFRA2
1557	0.0006335133566940343	CYP2C19
4915	0.0006335133566940343	NTRK2
4907	0.0006335133566940343	NT5E
3760	0.0006335133566940343	KCNJ3
3727	0.0006335133566940343	JUND
3115	0.0006335133566940343	HLA-DPB1
5617	0.0006335133566940343	PRL
6531	0.0006335133566940343	SLC6A3
3106	0.0006335133566940343	HLA-B
3558	0.0006335133566940343	IL2
6714	0.0006335133566940343	SRC
3107	0.0006335133566940343	HLA-C
265	0.0006335133566940343	AMELX
11201	0.0006335133566940343	POLI
1562	0.0006335133566940343	CYP2C18
5294	0.0006335133566940343	PIK3CG
2668	0.0006335133566940343	GDNF
59340	0.0006335133566940343	HRH4
3176	0.0006335133566940343	HNMT
2944	0.0006335133566940343	GSTM1
84062	0.0006335133566940343	DTNBP1
3699	0.0006335133566940343	ITIH3
718	0.0006335133566940343	C3
13	0.0006335133566940343	AADAC
477	0.0006311961694400474	ATP1A2
3354	0.0006311961694400474	HTR1E
151	0.0006311961694400474	ADRA2B
3552	0.0006311961694400474	IL1A
1129	0.0006311961694400474	CHRM2
64478	0.0006311961694400474	CSMD1
2950	0.0006311961694400474	GSTP1
2326	0.0006311961694400474	FMO1
2696	0.0006311961694400474	GIPR
3351	0.0006311961694400474	HTR1B
115019	0.0006311961694400474	SLC26A9
5325	0.0006311961694400474	PLAGL1
196	0.0006311961694400474	AHR
1816	0.0006311961694400474	DRD5
2947	0.0006311961694400474	GSTM3
5799	0.0006311961694400474	PTPRN2
6580	0.0006311961694400474	SLC22A1
2328	0.0006311961694400474	FMO3
147	0.0006311961694400474	ADRA1B
2671	0.0006311961694400474	GFER
2784	0.0006311961694400474	GNB3
339745	0.0006311961694400474	SPOPL
155	0.0006311961694400474	ADRB3
1133	0.0006311961694400474	CHRM5
150	0.0006311961694400474	ADRA2A
1103	0.0006311961694400474	CHAT
5468	0.0006311961694400474	PPARG
7172	0.0006311961694400474	TPMT
2548	0.0006311961694400474	GAA
1131	0.0006311961694400474	CHRM3
1132	0.0006311961694400474	CHRM4
7124	0.0004801928840946162	TNF
8792	0.0004801928840946162	TNFRSF11A
54575	0.0004801928840946162	UGT1A10
54659	0.0004801928840946162	UGT1A3
2913	0.0004801928840946162	GRM3
54579	0.0004801928840946162	UGT1A5
7082	0.0004801928840946162	TJP1
54576	0.0004801928840946162	UGT1A8
1545	0.0004801928840946162	CYP1B1
116987	0.0004801928840946162	AGAP1
54577	0.0004801928840946162	UGT1A7
4908	0.0004801928840946162	NTF3
154	0.0004801928840946162	ADRB2
54578	0.0004801928840946162	UGT1A6
51738	0.0004801928840946162	GHRL
23671	0.0004801928840946162	TMEFF2
6347	0.0004801928840946162	CCL2
53353	0.0004801928840946162	LRP1B
2917	0.0004801928840946162	GRM7
2895	0.0004801928840946162	GRID2
10213	0.0004801928840946162	PSMD14
54600	0.0004801928840946162	UGT1A9
3064	0.0004801928840946162	HTT
345222	0.0004801928840946162	MSANTD1
27068	0.0004801928840946162	PPA2
23043	0.0004801928840946162	TNIK
64067	0.0004801928840946162	NPAS3
7298	0.0004801928840946162	TYMS
5376	0.00016757436112274822	PMP22
3756	0.00016757436112274822	KCNH1
5170	0.00016757436112274822	PDPK1
6362	0.00016757436112274822	CCL18
5682	0.00016757436112274822	PSMA1
4635	0.00016757436112274822	MYL4
6833	0.00016757436112274822	ABCC8
1144	0.00016757436112274822	CHRND
1288	0.00016757436112274822	COL4A6
4860	0.00016757436112274822	PNP
5698	0.00016757436112274822	PSMB9
122706	0.00016757436112274822	PSMB11
3551	0.00016757436112274822	IKBKB
1301	0.00016757436112274822	COL11A1
5557	0.00016757436112274822	PRIM1
5713	0.00016757436112274822	PSMD7
3759	0.00016757436112274822	KCNJ2
121131	0.00016757436112274822	PSMB3P1
377677	0.00016757436112274822	CA13
29850	0.00016757436112274822	TRPM5
149233	0.00016757436112274822	IL23R
7849	0.00016757436112274822	PAX8
620	0.00016757436112274822	BCYRN1P2
939	0.00016757436112274822	CD27
1282	0.00016757436112274822	COL4A1
5778	0.00016757436112274822	PTPN7
984	0.00016757436112274822	CDK11B
321	0.00016757436112274822	APBA2
1360	0.00016757436112274822	CPB1
4791	0.00016757436112274822	NFKB2
57804	0.00016757436112274822	POLD4
10111	0.00016757436112274822	RAD50
6319	0.00016757436112274822	SCD
1466	0.00016757436112274822	CSRP2
6416	0.00016757436112274822	MAP2K4
8742	0.00016757436112274822	TNFSF12
393	0.00016757436112274822	ARHGAP4
5894	0.00016757436112274822	RAF1
10039	0.00016757436112274822	PARP3
