Gene_Claim_Name	Importance_Score	NCBI_Gene_ID
KDM5C	0.001371	8242
RBM10	0.001354	8241
ABHD10	0.001250	55347
NECAB2	0.001163	54550
UNG	0.001077	7374
KIAA0232	0.001013	9778
AXIN2	0.000992	8313
HHATL	0.000964	57467
SCRT2	0.000930	85508
KRTAP12-3	0.000920	386683
SLC22A1	0.000904	6580
VPS51	0.000893	738
BAP1	0.000765	8314
TMEM44	0.000600	93109
FARP2	0.000582	9855
SUMO4	0.000539	387082
DAZ2	0.000536	57055
LGALS7B	0.000534	653499
ITGA6	0.000530	3655
USP4	0.000524	7375
FSIP1	0.000504	161835
UPP1	0.000502	7378
ZEB2	0.000468	9839
DYSF	0.000467	8291
DNAJB3	0.000464	414061
CTNNBIP1	0.000442	56998
EIF3J	0.000437	8669
VRK1	0.000432	7443
ZC3H12C	0.000431	85463
PNMA6A	0.000419	84968
ANKRD13C	0.000410	81573
UPK3A	0.000389	7380
TECPR2	0.000387	9895
TBC1D5	0.000385	9779
GRIN2B	0.000368	2904
SLC30A5	0.000349	64924
SOCS1	0.000347	8651
LBH	0.000345	81606
PPIAL4A	0.000337	653505
SNAP91	0.000333	9892
CFAP298	0.000331	56683
IQSEC3	0.000327	440073
TSPAN17	0.000327	26262
INSR	0.000313	3643
UPK2	0.000309	7379
UPK2	0.000304	
UPK2	0.000301	
UPK2	0.000298	
NAV3	0.000297	89795
PDCD2L	0.000296	84306
WASHC5	0.000291	9897
WASHC5	0.000289	
PSMC5	0.000289	5705
GPR158	0.000283	57512
B3GNT8	0.000280	374907
B3GNT8	0.000268	
PLSCR3	0.000262	57048
PLSCR3	0.000262	
CHSY1	0.000262	22856
TRBC2	0.000261	28638
RPL7AP46	0.000260	441440
UBAP2L	0.000259	9898
H3-7	0.000259	440686
SNN	0.000243	8303
TOR4A	0.000241	54863
GASK1A	0.000238	729085
GASK1A	0.000234	
PSMA1	0.000227	5682
PSMA1	0.000221	
HSFY1	0.000218	86614
HSFY1	0.000218	
TIGD7	0.000209	91151
SSRP1	0.000205	6749
SRSF7	0.000204	6432
SRSF7	0.000201	
ATXN7L3	0.000201	56970
ACP7	0.000199	390928
CDK5R2	0.000195	8941
DNTTIP2	0.000194	30836
ATXN8OS	0.000191	6315
CAV3	0.000189	859
KRTAP4-4	0.000189	84616
KRTAP10-7	0.000183	386675
KIR2DS3	0.000182	3808
ELOF1	0.000180	84337
ELOF1	0.000180	
LMBR1	0.000177	64327
LMBR1	0.000175	
LMBR1	0.000174	
GPX2	0.000171	2877
IL13RA1	0.000170	3597
ACOX2	0.000170	8309
FZD4	0.000169	8322
SLC12A9	0.000168	56996
SLC12A9	0.000166	
SLC12A9	0.000165	
TRRAP	0.000165	8295
SETD7	0.000165	80854
NSMCE3	0.000163	56160
ZNF793	0.000162	390927
VHLL	0.000161	391104
GTF2H2C	0.000159	728340
TRAV40	0.000158	28641
TRAV40	0.000158	
CAB39L	0.000157	81617
PSMA3	0.000157	5684
NIPSNAP1	0.000156	8508
CDC7	0.000155	8317
HMGA2	0.000155	8091
SNURF	0.000155	8926
DYNLL1P3	0.000155	391012
MYRF	0.000154	745
FKBP3	0.000154	2287
LAMA4	0.000154	3910
TLCD3A	0.000154	79850
CAMK2N1	0.000150	55450
CAMK2N1	0.000150	
CAMK2N1	0.000150	
ZNF818P	0.000150	390963
THOC1	0.000150	9984
PGM5P2	0.000149	595135
LY6D	0.000149	8581
ALKBH3	0.000148	221120
ALKBH3	0.000147	
IGLV7-43	0.000147	28776
C5orf63	0.000145	401207
C5orf63	0.000145	
HEPACAM2	0.000143	253012
LTB	0.000143	4050
GRIK1-AS1	0.000140	642976
AMN	0.000139	81693
OXTR	0.000139	5021
GJA9	0.000139	81025
SPATA41	0.000138	388182
IL6R	0.000137	3570
B2M	0.000136	567
ZNF22-AS1	0.000136	220979
CGNL1	0.000135	84952
STX10	0.000133	8677
FOXD4L3	0.000133	286380
OR10R3P	0.000133	391110
OR10R3P	0.000133	
THOC5	0.000132	8563
FZD6	0.000131	8323
WDR83OS	0.000131	51398
WDR83OS	0.000130	
WDR83OS	0.000130	
MIR192	0.000129	406967
KIFAP3	0.000128	22920
KIFAP3	0.000128	
LRRC4	0.000128	64101
HES3	0.000126	390992
BANF1P2	0.000126	414169
PARGP1	0.000125	728407
TEX13A	0.000124	56157
PRAMEF12	0.000124	390999
PRAMEF12	0.000122	
OR10K2	0.000121	391107
TNMD	0.000120	64102
DALRD3	0.000120	55152
UTP3	0.000120	57050
RWDD1	0.000119	51389
RNF222	0.000118	643904
RNF222	0.000115	
SSX5	0.000115	6758
KRTAP10-3	0.000114	386682
MAGED4	0.000113	728239
LINC02027	0.000112	728290
PODNL1	0.000112	79883
PODNL1	0.000110	
MAP2K1	0.000110	5604
MAP2K1	0.000109	
LINC00574	0.000109	80069
DPH6	0.000109	89978
GTF2F1	0.000108	2962
GTF2F1	0.000108	
MIR495	0.000107	574453
MIR495	0.000107	
MIR495	0.000106	
ZNF669	0.000106	79862
PDE4A	0.000105	5141
PIWIL2	0.000105	55124
ATP13A3-DT	0.000105	401106
SLC1A6	0.000104	6511
SLC6A8	0.000104	6535
SLC6A8	0.000104	
FLRT1	0.000103	23769
FLRT1	0.000103	
TRIM23	0.000103	373
IRAK2	0.000103	3656
C2CD5	0.000102	9847
C2CD5	0.000102	
SLC25A21	0.000102	89874
PDE3A	0.000102	5139
EPB41L4B	0.000102	54566
EPB41L4B	0.000102	
ADAMTS9	0.000101	56999
ADAMTS9	0.000101	
HDHD3	0.000101	81932
HDHD3	0.000101	
RSRP1	0.000101	57035
RSRP1	0.000101	
AIG1	0.000101	51390
AIG1	0.000100	
CAST	0.000100	831
KYNU	0.000100	8942
FGF11	0.000099	2256
NPSR1	0.000099	387129
BMS1	0.000099	9790
PSG4	0.000099	5672
PSG4	0.000099	
PLA2G2C	0.000099	391013
CHPT1	0.000098	56994
CES2	0.000098	8824
YARS1	0.000098	8565
PINLYP	0.000098	390940
TEX56P	0.000097	404220
TMEM183BP	0.000097	653659
OR6Y1	0.000097	391112
OR6Y1	0.000096	
FABP3P2	0.000096	56677
VEGFB	0.000096	7423
CPA6	0.000096	57094
SLC6A6	0.000096	6533
CCDC170	0.000096	80129
CYP4F2	0.000095	8529
VEGFC	0.000095	7424
VEGFC	0.000094	
SP110	0.000094	3431
SP110	0.000094	
TOP3B	0.000094	8940
ATP5F1E	0.000093	514
OR2A7	0.000093	401427
SHQ1	0.000093	55164
TDG	0.000093	6996
KRTAP10-2	0.000093	386679
EIF4A1P2	0.000093	359792
SNORD113-3	0.000092	767563
PSG5	0.000092	5673
ELSPBP1	0.000092	64100
OR1E2	0.000092	8388
MIR671	0.000091	768213
PLEKHA3	0.000091	65977
PLEKHA3	0.000091	
FAM153CP	0.000091	653316
RNASE13	0.000091	440163
PSG6	0.000091	5675
PSG6	0.000090	
MECR	0.000090	51102
MRPL14	0.000090	64928
NT5M	0.000090	56953
SEC61A2	0.000090	55176
SSH2	0.000090	85464
CTAGE9	0.000090	643854
CTAGE9	0.000090	
CTAGE9	0.000090	
SYT3	0.000090	84258
KREMEN1	0.000090	83999
RNF8	0.000089	9025
CAMK4	0.000089	814
CAMK4	0.000089	
TAGLN2	0.000089	8407
CHD6	0.000089	84181
PHACTR4	0.000089	65979
TSSK6	0.000089	83983
TSSK6	0.000089	
MRO	0.000089	83876
ZNF527	0.000089	84503
ZNF527	0.000089	
ELMOD3	0.000089	84173
STK40	0.000089	83931
ZRANB3	0.000088	84083
OBSCN	0.000088	84033
SPART	0.000088	23111
FGF14	0.000088	2259
OR1E3	0.000088	8389
PSG1	0.000088	5669
RNF135	0.000088	84282
XAB2	0.000088	56949
DPPA3	0.000088	359787
SPATA9	0.000088	83890
CCNC	0.000088	892
NCBP3	0.000087	55421
TBC1D10A	0.000087	83874
ING5	0.000087	84289
