index	score	claim_name	ncbi_gene_id
17056	0.004505552365637623	SRC	6714
17461	0.004203680980691738	TNF	7124
17490	0.003331499239125388	TP53	7157
4555	0.002595706509964484	CYP1A1	1543
5636	0.0025582249428699965	ALDH1A1	216
13094	0.00250596388441596	PIK3CG	5294
9127	0.002348970441850182	HLA-B	3106
3023	0.002288263404182064	SERPINA3	12
15885	0.0021351225121638033	BDNF	627
7417	0.002114702345889507	AMD1	262
17513	0.0020804432588781285	C3	718
14209	0.002032556982154548	PRKAA2	5563
9910	0.0019996794907123448	FAS	355
4618	0.001981373416564312	CYP3A4	1576
5673	0.001957546705099528	FASN	2194
12028	0.0019187303624547231	NFIB	4781
15959	0.0019108578782851503	CCL2	6347
5621	0.001835150828659493	ALCAM	214
12129	0.0018283417667544226	NT5E	4907
12135	0.0018008100886366173	NTRK2	4915
4557	0.0017504574357285827	CYP1A2	1544
1192	0.001745890852116097	PSMD14	10213
15588	0.001729345788832753	BCL2	596
5645	0.0016944771006860914	ALDH2	217
10078	0.0016872313840566565	JUND	3727
17766	0.001670008941967101	TYMS	7298
11873	0.0016525516313335795	MYC	4609
6826	0.0016471876444619064	ABL1	25
5346	0.0016369887749126176	A2M	2
8837	0.0016088483786147244	GSTM1	2944
4559	0.0015840828743806427	CYP1B1	1545
6060	0.0015793673496075106	FKBP5	2289
9918	0.0015624231428518806	IL2	3558
8746	0.001526162819913427	GRIN2B	2904
9913	0.0014852810130607456	IL1A	3552
9128	0.001429614840344028	HLA-C	3107
15625	0.0014295990892817345	RGS4	5999
16689	0.0014231293900230453	SLC1A1	6505
21444	0.0014212697900019425	ABCG2	9429
4596	0.0014064220442344413	CYP2C9	1559
14224	0.0013985796871320128	PRKAB2	5565
3389	0.0012960777491107332	COL1A1	1277
4600	0.001285898198831684	CYP2D6	1565
10823	0.0012850795530960756	LEP	3952
9067	0.0012628546165870252	HDAC1	3065
13484	0.00125924794006381	PPARG	5468
13049	0.0012266339900199885	ABCB1	5243
9147	0.0012162347519267206	HLA-DRB5	3127
17071	0.0011948479862447965	BRAF	673
4594	0.0011471579400116278	CYP2C19	1557
11567	0.0011212966050438364	ABCC1	4363
7982	0.001119478646313663	GNB3	2784
16993	0.0011113417640747337	SOD2	6648
3972	0.0010744108999208126	MAPK14	1432
10026	0.0010728032522644537	AR	367
11974	0.0010709901620873958	ATM	472
4603	0.0010623589033823158	CYP2E1	1571
9599	0.0010525400152259238	IDH1	3417
5245	0.0010448974783291963	AHR	196
9136	0.0010272060069098693	HLA-DPB1	3115
20946	0.001025490460744248	RABEP1	9135
11154	0.0010142019281812193	LYN	4067
9322	0.0009989702359236763	HSPA1A	3303
5132	0.0009975645626809676	DRD2	1813
6813	0.0009898211499591652	MTOR	2475
3790	0.0009879410545228842	CREB1	1385
8842	0.0009803108552154751	GSTP1	2950
17469	0.0009752245993549096	TNFRSF1B	7133
9326	0.0009538267166838011	HSPA4	3308
9363	0.0009520499965780801	HTR2C	3358
4540	0.0009513002874887859	ADRB2	154
9126	0.000950931039034165	HLA-A	3105
9068	0.000947275251049683	HDAC2	3066
5627	0.0009023560086899256	ABCD1	215
9187	0.0009009064918590619	HNMT	3176
9914	0.0008943013781809887	IL1B	3553
8762	0.0008736865130048295	NR3C1	2908
9361	0.0008656149194642035	HTR2A	3356
6341	0.0008494468359550844	TBC1D1	23216
2195	0.0008414577873492095	CBX1	10951
9369	0.0008252065064350969	HTR7	3363
7267	0.0008117448266754077	SH2B1	25970
9144	0.0007972566671182247	HLA-DRB1	3123
11836	0.0007941199266874406	MTHFR	4524
7609	0.0007909584738874446	GDNF	2668
13437	0.0007882322762038719	UGT1A10	54575
13471	0.0007814116237159836	UGT1A1	54658
8843	0.0007755027694270201	GSTT1	2952
12123	0.0007729103714356604	ATP2B1	490
7653	0.0007697083834402531	GGT1	2678
9295	0.0007676423272371494	HRH1	3269
14573	0.0007676098769462511	PRL	5617
17419	0.0007551352800028278	TJP1	7082
9140	0.0007440585106883938	HLA-DQB1	3119
9145	0.0007288530213031672	HLA-DRB3	3125
13122	0.0007118262532617091	PLAGL1	5325
21207	0.0007083567579140089	CD9	928
5654	0.0007066988184602414	ALDH3A1	218
2542	0.0006985213808731037	CHRM1	1128
7512	0.0006795389053134347	GCG	2641
5641	0.000660480422450814	FAAH	2166
20545	0.0006604707433345037	CCKBR	887
8839	0.0006583724375532268	GSTM3	2947
5134	0.0006546864288453591	DRD4	1815
4332	0.0006369142086633588	ADRA2A	150
13470	0.0006364363071878996	UGT1A4	54657
13452	0.0006262042819996939	POU5F1	5460
4598	0.0006183965295752375	CYP2C18	1562
5117	0.0006113005929557329	ABAT	18
9356	0.0006096797381088488	HTR1A	3350
20517	0.0006067356159960782	CFLAR	8837
12017	0.0006045165748883183	ATP1A2	477
12072	0.0006022400436869349	NQO2	4835
4567	0.0005952546540874443	CYP2A6	1548
12142	0.0005946881182401169	NTS	4922
5755	0.0005933469657796584	ABCB7	22
16772	0.0005708868216876291	SLC6A3	6531
20521	0.0005707875524104079	HDAC3	8841
17856	0.0005662515956847543	UGT2B10	7365
5131	0.000559412789329168	DRD1	1812
17955	0.0005428507279877863	XBP1	7494
1964	0.0005403572781701621	ADCY1	107
9066	0.0005374931248447691	HTT	3064
11415	0.0005306274072098059	MC4R	4160
7288	0.0005302388804396286	AOC1	26
10824	0.0005294500919784922	LEPR	3953
17831	0.0005289330734044724	UBE2N	7334
13440	0.0005288231771770178	UGT1A6	54578
7938	0.0005280754418575698	GLP1R	2740
16785	0.0005237623486698098	SLC6A4	6532
21731	0.0005156042587012057	HDAC9	9734
4574	0.0005082931280388678	ADRB3	155
12130	0.000504948211687426	NTF3	4908
6933	0.0004973067518190392	GAA	2548
10204	0.0004921796537475974	KCNJ3	3760
12027	0.0004913509050682523	NFE2L2	4780
13453	0.00048802809535716736	UGT1A9	54600
19179	0.00047876048269715135	CAMK2G	818
3510	0.0004765458086657821	AADAC	13
12377	0.0004764827686588866	TRAT1	50852
5319	0.0004764268891901738	ELAVL2	1993
15364	0.0004758962480468077	PTPRN2	5799
21756	0.0004747006004973637	HDAC4	9759
10192	0.0004708386372205247	KCNH2	3757
0	0.00046754909882262434	A1BG	1
6382	0.0004654118214253363	FMO1	2326
4592	0.0004626309212962006	CYP2B6	1555
17089	0.0004575230935008963	SST	6750
4454	0.00045465443082742997	ADRA2C	152
12452	0.0004474670426169426	GMNN	51053
13472	0.00044427944639013916	UGT1A3	54659
20535	0.0004404647192751776	NR1I2	8856
16601	0.00044015327219793096	CYP3A43	64816
4228	0.0004300167335749588	ADRA1A	148
8616	0.0004293277872001367	TRAC	28755
13438	0.0004193854872773072	UGT1A8	54576
18525	0.00041466793605204525	TBL1XR1	79718
2451	0.0004135440695914261	POLI	11201
3562	0.0004130777617884743	COMT	1312
4156	0.000411783607600053	ADRA1B	147
18406	0.0004059925157599572	EPM2A	7957
18316	0.0004058826248681688	ALDH5A1	7915
14376	0.0004049286735631797	PRKCE	5581
2063	0.000400955045145956	ADCY2	108
18133	0.00039918235070476806	CACNA1D	776
10056	0.0003978975186928429	ITIH3	3699
7720	0.0003962013208126855	ABL2	27
20473	0.0003957560872825961	TNFRSF11A	8792
123	0.00039250126232614465	HDAC6	10013
6400	0.0003904988602702554	FMO3	2328
2571	0.0003903167875893941	CHRM3	1131
257	0.0003856198402073908	HDAC5	10014
8695	0.0003849817496301145	TRIB2	28951
1	0.00038453430923197414	NAT2	10
6750	0.00038210483451281516	ABCA4	24
20529	0.0003789928517444395	CCK	885
18125	0.00037869943053857384	CACNA1C	775
13439	0.00037827342088111836	UGT1A7	54577
6186	0.0003739355845155567	TNIK	23043
12088	0.00037039457896851535	NOTCH4	4855
9173	0.0003656721780404094	AOX1	316
9961	0.0003648817927522724	ACADSB	36
16892	0.0003581995913884409	SLC22A1	6580
17506	0.00035809628097866776	TPMT	7172
4625	0.0003579449240279632	CYP3A5	1577
17956	0.00035089955820022015	XDH	7498
7639	0.00035075933293297705	GFRA2	2675
11132	0.00035038798524851045	LTA	4049
9364	0.00033895388777912996	HTR3A	3359
9324	0.00033626469448628523	HSPA1L	3305
2174	0.0003362108007783707	RALBP1	10928
12253	0.00033503565717402784	OXT	5020
11606	0.0003317243179410623	EIF2AK4	440275
10921	0.00032696304841193575	LMO2	4005
2558	0.0003260095733365667	CHRM2	1129
5135	0.00032596901377527347	DRD5	1816
5133	0.0003245648589520622	DRD3	1814
4595	0.00032390689424934607	CYP2C8	1558
8815	0.0003195048986573495	GRM7	2917
11133	0.00031025791596338243	ARNT	405
13441	0.000308320697195982	UGT1A5	54579
2166	0.0003074576513914633	EHMT2	10919
7491	0.00030730276838182374	EHF	26298
6145	0.0003052736331304165	ABCF1	23
12855	0.0003034993129135732	HDAC7	51564
9357	0.00030328294082173767	HTR1B	3351
6747	0.0003014154877546334	ALK	238
15755	0.0002983371969794871	BCR	613
2901	0.00029768229043673896	AGAP1	116987
12244	0.0002964742617964912	OTC	5009
4396	0.0002938687825938488	ADRA2B	151
18667	0.00028965656500250947	HDAC11	79885
12202	0.00028957260081200403	OGDH	4967
15932	0.0002875842848621978	BGLAP	632
17960	0.00028736306179855424	XK	7504
7628	0.00028289498946537715	GFER	2671
3749	0.00028275407260683046	CPS1	1373
5544	0.00028257591125552034	EPHX2	2053
7756	0.0002759344377041729	PPA2	27068
2606	0.0002723850431130332	CHRM5	1133
2278	0.00027221317700799343	CHAT	1103
13110	0.00027204917952935716	PKD2	5311
11146	0.00027173748980036593	BMAL1	406
19279	0.00026906550992766625	BAP1	8314
13298	0.0002690410045384996	POLG	5428
15943	0.0002630499022524737	SCN5A	6331
9368	0.0002616730701642556	HTR6	3362
2589	0.0002616445431398375	CHRM4	1132
11557	0.0002575891441436378	MPO	4353
4504	0.00025681873377288124	ADRB1	153
15945	0.0002545472905165784	SCN8A	6334
15946	0.0002545179191018904	SCN9A	6335
8811	0.00025416629669007524	GRM3	2913
2759	0.00025076607486387056	SLC26A9	115019
15939	0.0002470436298592801	SCN3A	6328
971	0.0002371864882966362	CDH13	1012
9994	0.00023683991234487006	INPP1	3628
17857	0.0002334996049217904	UGT2B15	7366
12965	0.0002325439612359021	GHRL	51738
17399	0.00022994464219446952	TSPO	706
7704	0.00022934887810514894	GIPR	2696
2653	0.00022860871109908672	CHRNA7	1139
17553	0.0002280718184596167	TSHB	7252
7534	0.0002249812551488876	AMELX	265
283	0.00022270318696681625	CDH4	1002
6708	0.0002214678512980396	TMEFF2	23671
9502	0.00021857874364626285	SPOPL	339745
14145	0.0002181772869843713	MAML3	55534
21958	0.00021794879366452194	NR1I3	9970
3889	0.00021649554459497971	CRY1	1407
18331	0.00021064851192694267	BAG6	7917
9358	0.00021012853183606766	HTR1D	3352
15551	0.00020933940137987105	HRH4	59340
19557	0.00020924577280561534	DTNBP1	84062
14426	0.0002076096857493631	HDAC8	55869
17403	0.00020642458785707525	THPO	7066
9977	0.00020235687084664198	AQP4	361
15937	0.00020190481426285615	SCN2A	6326
16074	0.00019968369240808218	NPAS3	64067
15490	0.00019900756285953718	RAD52	5893
9359	0.00019735521497903213	HTR1E	3354
15944	0.00019436569759480365	SCN7A	6332
683	0.0001898567673588168	MICA	100507436
13144	0.00018887404408159995	LRP1B	53353
7038	0.000188193562145439	GABRP	2568
20586	0.00018495378712589857	CACNA1H	8912
16943	0.0001800700006902675	SMN1	6606
14084	0.00017611503105142138	PPT1	5538
18151	0.00017332558282360987	CACNA1F	778
15935	0.0001718314063825505	SCN1A	6323
2543	0.0001717799947109287	SCN11A	11280
15926	0.00017023059266053778	ATXN2	6311
16299	0.00016896492992045362	GREM2	64388
19512	0.00016654828509466083	HDAC10	83933
7517	0.00016407311523135193	GCKR	2646
7623	0.0001633870064961524	GFAP	2670
7009	0.00016171263299199034	GABRB3	2562
11412	0.00015960402533916573	MC2R	4158
18325	0.00015491980223403392	PRRC2A	7916
16377	0.00015428193561383666	CSMD1	64478
6971	0.00015417226784575404	GABRA1	2554
19012	0.00014791136405527228	POLR1HASP	80862
6975	0.0001465084870767287	GABRA2	2555
9296	0.00014583746874175822	APEH	327
8693	0.000145263066708149	GRID2	2895
1385	0.00014281279829839858	CACNG2	10369
7023	0.00014265815729203106	GABRE	2564
13505	0.00014153610753338182	MPHOSPH8	54737
6981	0.0001389167007262069	GABRA4	2557
17499	0.00013888219627904852	TPH1	7166
7993	0.00013466612817824883	GNRH1	2796
3443	0.00013456733134030796	TSHZ2	128553
15940	0.00013419457176673636	SCN4A	6329
6998	0.00013132783095705746	GABRB1	2560
7003	0.00012755315933013928	GABRB2	2561
6026	0.00012474118204146943	NTNG1	22854
6989	0.00011996417521206748	GABRA5	2558
15947	0.00011915807854852642	SCN10A	6336
14432	0.00011614887668646004	GABRQ	55879
4476	0.00011542561693945087	CNTN4	152330
10897	0.00011411419633934493	ASIC2	40
7030	0.00011240245112901975	GABRG2	2566
7034	0.0001123645559202126	GABRG3	2567
7575	0.00011165139258970752	GDF2	2658
7014	0.00010857070699465028	GABRD	2563
6977	0.00010480736901247764	GABRA3	2556
18466	0.0001033216679222978	MCPH1	79648
11505	9.915737974875676e-05	MLN	4295
6993	9.339106281333671e-05	GABRA6	2559
5013	9.039804276176628e-05	PSORS1C2	170680
7048	8.575948563313149e-05	GABRR2	2570
7041	8.575673936262056e-05	GABRR1	2569
15094	8.549124999350036e-05	GRAMD1B	57476
8996	8.211486960714525e-05	A2MP1	3
7210	8.154496040114784e-05	NALCN	259232
7027	7.820539497471897e-05	GABRG1	2565
6183	7.568909707541044e-05	MYT1L	23040
12622	7.319838400096285e-05	FAM178B	51252
9515	6.502474305654229e-05	GADL1	339896
6962	6.375666540213029e-05	ANKK1	255239
5404	5.918904365146957e-05	GABRR3	200959
9713	5.8164732663562876e-05	MSANTD1	345222
5012	5.730376133224799e-05	PSORS1C1	170679
8153	5.684978611816486e-05	FAM177A1	283635
8122	5.6843778166682544e-05	MYO1H	283446
157	5.511311306741887e-05	PSORS1C3	100130889
3005	5.274791419929296e-05	OR52E2	119678
3006	4.865883744274986e-05	OR52J3	119679
14470	4.587019952357805e-05	MAPK1	5594
14471	4.523781569146003e-05	MAPK3	5595
5568	4.473710550282625e-05	AKT1	207
13090	4.4050552886440976e-05	PIK3CA	5290
13095	4.3863087015964255e-05	PIK3R1	5295
12033	4.365757974308921e-05	NFKB1	4790
9287	4.356547428696607e-05	HRAS	3265
8650	4.288162488926525e-05	GRB2	2885
10076	4.282595608996399e-05	JUN	3725
14504	4.242166149055172e-05	MAP2K1	5604
15491	4.2176599965594e-05	RAF1	5894
10310	4.2023486939462704e-05	KRAS	3845
9929	4.1870902660164114e-05	IL6	3569
1253	4.1798945002021414e-05	CDKN1A	1026
15596	4.174243684212778e-05	RELA	5970
17000	4.1729210925224105e-05	SOS1	6654
15477	4.1646660329045926e-05	RAC1	5879
15579	4.1638816572135305e-05	CCND1	595
6599	4.1464545614019956e-05	FOS	2353
12118	4.139703809035414e-05	NRAS	4893
14490	4.120042829689637e-05	MAPK8	5599
12035	4.114614057360478e-05	NFKBIA	4792
14505	4.109760368280311e-05	MAP2K2	5605
5239	4.083215473240618e-05	EGFR	1956
9935	4.082132590441498e-05	CXCL8	3576
17107	4.078207653767545e-05	STAT1	6772
14347	4.059055533878001e-05	PRKCA	5578
17109	4.0516796037366994e-05	STAT3	6774
5580	4.0487119013947664e-05	AKT2	208
4	4.043932544721086e-05	AKT3	10000
6870	4.037374352244762e-05	FYN	2534
15526	4.029431638830848e-05	RB1	5925
17379	4.028054412346795e-05	TGFB1	7040
17808	4.027132621900243e-05	UBB	7314
16480	4.026194214451031e-05	SHC1	6464
5502	4.022076107906608e-05	EP300	2033
17811	4.019795562623186e-05	UBC	7316
17807	4.015527383356512e-05	UBA52	7311
15328	4.0144487563472737e-05	PTPN11	5781
13093	4.0105524507431536e-05	PIK3CD	5293
15861	4.0075773063896696e-05	RPS27A	6233
9912	4.0073917473548354e-05	IKBKB	3551
19378	4.0063758533190855e-05	CASP3	836
13091	4.0027414218732896e-05	PIK3CB	5291
15373	3.9988878622544516e-05	BAX	581
2688	3.9958555025287326e-05	CHUK	1147
17901	3.994364321877597e-05	VEGFA	7422
13096	3.986422251511148e-05	PIK3R2	5296
10350	3.975394734593518e-05	RHOA	387
13143	3.9731823485778085e-05	PLCG1	5335
5178	3.969143319981369e-05	E2F1	1869
8828	3.967050895173031e-05	GSK3B	2932
11438	3.957035532800362e-05	MDM2	4193
3794	3.956027020722306e-05	CREBBP	1387
9730	3.955620951873328e-05	IFNG	3458
4326	3.95351178229204e-05	CTNNB1	1499
18793	3.945556025362867e-05	CALM1	801
10072	3.945085732914403e-05	JAK2	3717
14357	3.943427453317824e-05	PRKCB	5579
21822	3.926710005442708e-05	CDK1	983
6457	3.926671731936543e-05	FN1	2335
19583	3.925643594021873e-05	CASP8	841
20142	3.9235445531315494e-05	PIK3R3	8503
14235	3.922647764302032e-05	PRKACA	5566
