index	score	claim_name	ncbi_gene_id
17056	0.023414954184089284	SRC	6714
17461	0.021857861174853308	TNF	7124
17490	0.017392130148173764	TP53	7157
4555	0.013328818162560391	CYP1A1	1543
5636	0.013108312661000793	ALDH1A1	216
13094	0.012905114589652638	PIK3CG	5294
9127	0.01202493293445721	HLA-B	3106
3023	0.01166960942007028	SERPINA3	12
15885	0.010955024106512437	BDNF	627
7417	0.010755748404875492	AMD1	262
17513	0.010634355855618805	C3	718
14209	0.010381657382128106	PRKAA2	5563
9910	0.010298647155921709	FAS	355
4618	0.0101711361319855	CYP3A4	1576
5673	0.009975421888130429	FASN	2194
15959	0.009821208901076028	CCL2	6347
12028	0.009754214270000035	NFIB	4781
5621	0.009327928681714916	ALCAM	214
12129	0.009300323465344259	NT5E	4907
12135	0.009208504000789404	NTRK2	4915
4557	0.008985478346263693	CYP1A2	1544
15588	0.00896903057221291	BCL2	596
1192	0.00888474194899255	PSMD14	10213
11873	0.008674329657882073	MYC	4609
5645	0.008621523327302207	ALDH2	217
10078	0.008590923533704827	JUND	3727
17766	0.008505219344527472	TYMS	7298
6826	0.008413576196467891	ABL1	25
5346	0.008301083050587523	A2M	2
8837	0.008194233514668579	GSTM1	2944
4559	0.00812017181039352	CYP1B1	1545
6060	0.00801005905545145	FKBP5	2289
9918	0.007997082411235267	IL2	3558
8746	0.007762966887613045	GRIN2B	2904
9913	0.007625887897402777	IL1A	3552
9128	0.007271121112735359	HLA-C	3107
15625	0.0072289810198769	RGS4	5999
21444	0.007211889902827684	ABCG2	9429
4596	0.007191039402073212	CYP2C9	1559
16689	0.0071909063188326326	SLC1A1	6505
14224	0.007103566104548199	PRKAB2	5565
3389	0.0066031826059947145	COL1A1	1277
4600	0.006533748111662575	CYP2D6	1565
10823	0.0065073286493485824	LEP	3952
9067	0.006483004367722484	HDAC1	3065
13484	0.006406511146828877	PPARG	5468
13049	0.006237466455207246	ABCB1	5243
9147	0.006183953630448286	HLA-DRB5	3127
17071	0.006173108012374925	BRAF	673
4594	0.0058321769388950855	CYP2C19	1557
7982	0.005664053589611482	GNB3	2784
11567	0.005660454876055348	ABCC1	4363
16993	0.005645071111608438	SOD2	6648
3972	0.0056042318120147405	MAPK14	1432
11974	0.0054735734739342	ATM	472
10026	0.005417409913026222	AR	367
4603	0.005415037533011674	CYP2E1	1571
5245	0.00529828101218589	AHR	196
9599	0.005292582982579479	IDH1	3417
9136	0.005185899357423537	HLA-DPB1	3115
11154	0.005180448489613215	LYN	4067
20946	0.005139146226485556	RABEP1	9135
3790	0.005119588393538435	CREB1	1385
6813	0.00511369905324045	MTOR	2475
9322	0.005048405331510596	HSPA1A	3303
