,index,score_df1,claim_name,ncbi_gene_id_df1,ncbi_gene_id_df2,score_df2,score_ratio
8,463,0.002482683333041,HTR2C,3358,3358,0.0002442321725573,10.165259175502486
17,2973,0.0017435208469894,EPM2A,7957,7957,0.0001773404550777,9.831489640790045
19,935,0.0016923075389655,RABEP1,9135,9135,0.0001791183162812,9.447987085300232
18,934,0.0016923075389655,SH2B1,25970,25970,0.0001794674329343,9.429607986787358
13,393,0.0019726461281913,MTHFR,4524,4524,0.0002364957608536,8.341147938852249
14,665,0.0018089001806772,HTR7,3363,3363,0.0002200913947327,8.218859182904906
7,1299,0.002482683333041,SERPINA3,12,12,0.0003167583914116,7.837782361430699
16,820,0.0017979776738147,CYP1A1,1543,1543,0.0002312267736598,7.775819579007896
36,2538,0.0012334358766546,MIR1912,100302144,100302144,0.0001696726767831,7.26950207917893
35,2618,0.0012334358766546,MIR1264,100302251,100302251,0.0001696726767831,7.26950207917893
6,1333,0.002482683333041,ABCD1,215,215,0.0003428898996931,7.240467961474222
11,127,0.0020818874833951,NATP,11,11,0.0002943932737349,7.071790251803891
27,991,0.0013100838810822,HLA-C,3107,3107,0.0001862849121478,7.032689153283485
5,366,0.002482683333041,AMD1,262,262,0.0003572458658336,6.949508925030916
34,927,0.0012334358766546,SLC1A1,6505,6505,0.0001821882939695,6.7701159595966605
15,1028,0.0018089001806772,DRD4,1815,1815,0.000270464840085,6.688115838305305
9,518,0.0023693570380402,HTR2A,3356,3356,0.0003608689459935,6.5656994439274285
37,4260,0.001199084697041,EIF2AK4,440275,440275,0.0001829337154442,6.55474959402306
44,1664,0.0011318506816025,PRKAA2,5563,5563,0.0001745389175261,6.4848040634447415
29,1027,0.0012988152103424,MC4R,4160,4160,0.0002028360023667,6.40327750097499
28,132,0.0012988152103424,HTR1A,3350,3350,0.0002190333233309,5.929760780647254
40,61,0.0011719692272466,LEP,3952,3952,0.0002021322254596,5.798032572895411
42,1016,0.0011525864702866,UGT1A5,54579,54579,0.0002005737601236,5.746446940897648
3,31,0.0027077236744458,DRD2,1813,1813,0.0004811893816072,5.627147601224799
67,1551,0.0009381379063405,NFIB,4781,4781,0.000170810968281,5.492257995968827
