ncbi_gene_id,partition_number,claim_name
1565,4,CYP2D6
9641,1,IKBKE
7465,1,WEE1
53944,1,CSNK1G1
815,1,CAMK2A
10298,1,PAK4
491,4,ATP2B2
489,4,ATP2A3
10877,4,CFHR4
579,4,NKX3-2
55584,4,CHRNA9
57053,4,CHRNA10
2035,4,EPB41
469,4,ATF4P1
2251,4,FGF6
582,4,BBS1
5567,1,PRKACB
5613,1,PRKX
2624,4,GATA2
1504,1,CTRB1
2970,4,GTF2IP1
270,4,AMPD1
3766,4,KCNJ10
58190,4,CTDSP1
484,4,ATP1B3P1
8161,4,COIL
921,4,CD5
1435,4,CSF1
9852,4,EPM2AIP1
6718,4,AKR1D1
2633,4,GBP1
6716,4,SRD5A2
9910,4,RABGAP1L
64116,4,SLC39A8
80731,4,THSD7B
219541,4,MED19
27327,4,TNRC6A
5926,4,ARID4A
2524,4,FUT2
56899,4,ANKS1B
253559,4,CADM2
51075,4,TMX2
58477,4,SRPRB
5236,4,PGM1
7732,4,RNF112
9498,4,SLC4A8
4498,4,MT1JP
5464,4,PPA1
127,4,ADH4
222236,4,NAPEPLD
51150,4,SDF4
6416,4,MAP2K4
55503,4,TRPV6
3554,4,IL1R1
23451,4,SF3B1
10914,4,PAPOLA
6908,4,TBP
8398,4,PLA2G6
10097,4,ACTR2
283871,4,PGP
6585,4,SLIT1
10673,4,TNFSF13B
642,4,BLMH
3768,4,KCNJ12
3776,4,KCNK2
811,4,CALR
56302,4,TRPV5
50508,4,NOX3
1733,4,DIO1
7173,4,TPO
443,4,ASPA
3748,4,KCNC3
26251,4,KCNG2
170850,4,KCNG3
3745,4,KCNB1
3750,4,KCND1
23415,4,KCNH4
3787,4,KCNS1
9312,4,KCNB2
131096,4,KCNH8
3790,4,KCNS3
169522,4,KCNV2
3743,4,KCNA7
3742,4,KCNA6
3746,4,KCNC1
3788,4,KCNS2
3744,4,KCNA10
81033,4,KCNH6
93107,4,KCNG4
3747,4,KCNC2
90134,4,KCNH7
3754,4,KCNF1
27133,4,KCNH5
27012,4,KCNV1
3755,4,KCNG1
3756,4,KCNH1
3751,4,KCND2
9132,4,KCNQ4
3749,4,KCNC4
3739,4,KCNA4
23416,4,KCNH3
3752,4,KCND3
5226,4,PGD
11156,4,PTP4A3
128553,4,TSHZ2
4855,4,NOTCH4
8837,1,CFLAR
28951,4,TRIB2
170680,4,PSORS1C2
64388,4,GREM2
5311,4,PKD2
23040,4,MYT1L
79718,4,TBL1XR1
22854,4,NTNG1
2646,4,GCKR
3186,4,RBMXP1
5034,4,P4HB
285852,4,TREML4
79750,4,ZNF385D
125170,4,MIEF2
55904,4,KMT2E
27130,4,INVS
54881,4,TEX10
57101,4,ANO2
9652,4,SKIC3
2220,4,FCN2
64409,4,GALNT17
56934,4,CA10
269,4,AMHR2
8115,4,TCL1A
380,4,ARF4P1
116931,4,MED12L
158358,4,BRD10
5558,4,PRIM2
54107,4,POLE3
5557,4,PRIM1
57804,4,POLD4
5425,4,POLD2
23649,4,POLA2
124,4,ADH1A
51251,4,NT5C3A
5427,4,POLE2
690,4,BTF3P11
11005,4,SPINK5
166012,4,CHST13
442,4,ASNSP2
358,4,AQP1
57143,4,ADCK1
1399,1,CRKL
23235,1,SIK2
2012,1,EMP1
11183,1,MAP4K5
6862,4,TBXT
321,4,APBA2
1161,4,ERCC8
8726,4,EED
23636,1,NUP62
375,1,ARF1
29128,1,UHRF1
1856,1,DVL2
54206,1,ERRFI1
4058,1,LTK
5586,1,PKN2
867,1,CBL
9518,4,GDF15
5266,4,PI3
5076,4,PAX2
10535,4,RNASEH2A
1645,4,AKR1C1
5564,4,PRKAB1
29104,4,N6AMT1
